name,networth,country,source,rank,age,residence,citizenship,status,children,education,self_made,degree,university,longitude,latitude,combined
Vinod & Anil Rai Gupta,4.0,India,electrical equipment,727,,"Delhi, India",India,,,,False,,,77.2219388,28.6517178,vinod-anil-rai-gupta
Masatoshi Ito,4.0,Japan,retail,727,97.0,"Tokyo, Japan",Japan,Married,3.0,,True,,,139.7594549,35.6828387,masatoshi-ito
Igor Kesaev,4.0,Russia,"tobacco distribution, retail",727,54.0,"Moscow, Russia",Russia,Married,3.0,"Bachelor of Arts/Science, Moscow Institute of International Relations",True,Bachelor of Arts/Science, Moscow Institute of International Relations,37.6174943,55.7504461,igor-kesaev
Koon Poh Keong,4.0,Malaysia,aluminum,727,60.0,"Petaling Jaya, Malaysia",Malaysia,Married,,"Bachelor of Engineering, University of Oklahoma",True,Bachelor of Engineering, University of Oklahoma,101.6450232,3.0991752,koon-poh-keong
Paul Xiaoming Lee & family,4.0,United States,packaging,727,63.0,"Yuxi, China",United States,Married,,"Master of Science, University of Massachusetts",True,Master of Science, University of Massachusetts,102.5060902,28.6439377,paul-xiaoming-lee
Li Xiang,4.0,China,electric vehicles,727,39.0,"Beijing, China",China,,,,True,,,116.3912757,39.906217,li-xiang
Melissa Ma,4.0,China,internet search,727,,"Beijing, China",China,Married,,,True,,,116.3912757,39.906217,melissa-ma
Kiran Mazumdar-Shaw,4.0,India,biopharmaceuticals,727,68.0,"Bangalore, India",India,Married,,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University",True,Bachelor of Arts/Science," Bangalore University; Master of Science, Melbourne University",77.59129969999999,12.9791198,kiran-mazumdar-shaw
Gwendolyn Sontheim Meyer,4.0,United States,Cargill,727,59.0,"Rancho Santa Fe, California",United States,Divorced,2.0,,False,,,-117.1981516,33.0241949,gwendolyn-sontheim-meyer
Akira Mori & family,4.0,Japan,real estate,727,84.0,"Tokyo, Japan",Japan,Married,3.0,,False,,,139.7594549,35.6828387,akira-mori
Georg Nemetschek & family,4.0,Germany,software,727,87.0,"Munich, Germany",Germany,Widowed,2.0,,True,,,11.5753822,48.1371079,georg-nemetschek
Masahiro Noda,4.0,Japan,software,727,82.0,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Economics, Kansai University",True,Bachelor of Arts/Economics, Kansai University,139.7594549,35.6828387,masahiro-noda
Ajay Piramal,4.0,India,pharmaceuticals,727,65.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, Bombay University",False,Bachelor of Arts/Science," Bombay University; Master of Business Administration, Bombay University",72.8773928,19.0759899,ajay-piramal
Qiu Guanghe & family,4.0,China,fashion retail,727,69.0,"Wenzhou, China",China,Married,2.0,,True,,,120.695345,27.9963899,qiu-guanghe
Trevor Rees-Jones,4.0,United States,oil & gas,727,69.0,"Dallas, Texas",United States,Married,2.0,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",True,Bachelor of Arts/Science," Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",-96.7968559,32.7762719,trevor-rees-jones
Ira Rennert,4.0,United States,investments,727,86.0,"New York, New York",United States,Married,3.0,"Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business",True,Bachelor of Arts/Science," Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business",-74.00601519999999,40.7127281,ira-rennert
Marc Rowan,4.0,United States,private equity,727,58.0,"New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Bachelor of Arts/Science," University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",-74.00601519999999,40.7127281,marc-rowan
Ugur Sahin,4.0,Germany,biotechnology,727,55.0,"Mainz, Germany",Germany,Married,,,True,,,8.2762513,50.0012314,ugur-sahin
Michal Solowow,4.0,Poland,investments,727,58.0,"Kielce, Poland",Poland,Married,3.0,,True,,,20.6099144,50.8540359,michal-solowow
Udo & Harald Tschira,4.0,Germany,software,727,,Germany,Germany,,,,False,,,10.4234469,51.0834196,udo-harald-tschira
Wu Jianshu,4.0,Hong Kong,auto parts,727,57.0,"Ningbo, China",Hong Kong,,,,True,,,121.6203873,29.8622194,wu-jianshu
Ye Xiaoping,4.0,China,pharmaceuticals,727,58.0,"Hangzhou, China",China,,,"Ph.D, Oxford University",True,Ph.D, Oxford University,120.2052342,30.2489634,ye-xiaoping
Zhou Hongyi,4.0,China,security software,727,50.0,"Beijing, China",China,Married,,"Master of Science, Xi'an Jiaotong University",True,Master of Science, Xi'an Jiaotong University,116.3912757,39.906217,zhou-hongyi
Che Jianxing,3.9,China,furniture retailing,752,54.0,"Shanghai, China",China,Married,,,True,,,121.4692071,31.2322758,che-jianxing
Beatriz Davila de Santo Domingo,3.9,Colombia,beer,752,82.0,Bermuda,Colombia,Widowed,2.0,,False,,,-64.76035829999999,32.3018217,beatriz-davila-de-santo-domingo
Rafael Del Pino,3.9,Spain,construction,752,62.0,"Madrid, Spain",Spain,Divorced,6.0,"Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid",False,Master of Business Administration," MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid",-3.7035825,40.4167047,rafael-del-pino
Du Weimin,3.9,China,vaccines,752,57.0,"Shenzhen, China",China,Married,,"Master of Business Administration, Jinan University",True,Master of Business Administration, Jinan University,114.0543297,22.555454,du-weimin
Rakesh Gangwal,3.9,United States,airline,752,67.0,"Miami, Florida",United States,Married,1.0,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Bachelor of Science in Engineering," Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",-80.19362,25.7741728,rakesh-gangwal
Paul Gauselmann & family,3.9,Germany,gambling,752,86.0,"Espelkamp, Germany",Germany,Married,4.0,,True,,,8.6157377,52.3778041,paul-gauselmann
Jeff Greene,3.9,United States,"real estate, investments",752,66.0,"Palm Beach, Florida",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",True,Master of Business Administration," Harvard University; Bachelor of Arts/Science, Johns Hopkins University",-80.4494174,26.6279798,jeff-greene
Johnelle Hunt,3.9,United States,trucking,752,89.0,"Fayetteville, Arkansas",United States,Widowed,2.0,"Drop Out, University of Central Arkansas",True,Drop Out, University of Central Arkansas,-94.1574328,36.0625843,johnelle-hunt
Jin Baofang,3.9,China,solar energy,752,68.0,"Xingtai, China",China,Married,,"Associate in Arts/Science, Hebei Broadcast and Television University",True,Associate in Arts/Science, Hebei Broadcast and Television University,114.499746,37.0616519,jin-baofang
Kuan Kam Hon & family,3.9,Malaysia,synthetic gloves,752,73.0,"Kuala Lumpur, Malaysia",Malaysia,Married,3.0,,True,,,101.6942371,3.1516964,kuan-kam-hon
"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65.0,"Greenwich, Connecticut",United States,Married,3.0,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",True,Bachelor of Arts/Science," Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",-73.6284598,41.0264862,"stephen-mandel,-jr."
Gilles Martin,3.9,France,laboratory services,752,57.0,"Nantes, France",France,Married,,"Bachelor of Arts/Science, Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",True,Bachelor of Arts/Science," Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",-1.5541362,47.2186371,gilles-martin
Masahiro Miki,3.9,Japan,shoes,752,65.0,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University",True,Bachelor of Arts/Science, Toho Gakuen tanki University,139.7594549,35.6828387,masahiro-miki
Dan Olsson,3.9,Sweden,diversified,752,74.0,"Gothenburg, Sweden",Sweden,Married,,,False,,,11.9670171,57.7072326,dan-olsson
Robert Rowling,3.9,United States,"hotels, investments",752,67.0,"Dallas, Texas",United States,Married,2.0,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",False,Doctor of Jurisprudence," Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",-96.7968559,32.7762719,robert-rowling
Erik Selin,3.9,Sweden,real estate,752,53.0,"Göteborg, Sweden",Sweden,Divorced,,,True,,,11.9670171,57.7072326,erik-selin
Mark Shoen,3.9,United States,U-Haul,752,70.0,"Phoenix, Arizona",United States,Married,1.0,,False,,,-112.0741417,33.4484367,mark-shoen
Ben Silbermann,3.9,United States,Pinterest,752,38.0,"San Francisco, California",United States,Married,2.0,"Bachelor of Arts/Science, Yale University",True,Bachelor of Arts/Science, Yale University,-122.419906,37.7790262,ben-silbermann
Maximilian Viessmann,3.9,Germany,heating and cooling equipment,752,,,Germany,,,,False,,,10.4234469,51.0834196,maximilian-viessmann
Wang Linpeng,3.9,China,furniture retailing,752,53.0,"Beijing, China",China,,,,True,,,116.3912757,39.906217,wang-linpeng
Wu Zhigang & family,3.9,China,bakery chain,752,86.0,"Shenyang, China",China,Married,3.0,,True,,,123.458674,41.6749893,wu-zhigang
Yi Zheng,3.9,China,software,752,50.0,"Hangzhou, China",China,,,"Bachelor of Arts/Science, Zhejiang University",True,Bachelor of Arts/Science, Zhejiang University,120.2052342,30.2489634,yi-zheng
Zhang Wenzhong,3.9,China,supermarkets,752,59.0,"Beijing, China",China,,,,True,,,116.3912757,39.906217,zhang-wenzhong
Euisun Chung,3.8,South Korea,Hyundai,775,50.0,"Seoul, South Korea",South Korea,Married,2.0,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of San Francisco",False,Bachelor of Arts/Science," Korea University; Master of Business Administration, University of San Francisco",126.9782914,37.5666791,euisun-chung
Daniel D'Aniello,3.8,United States,private equity,775,74.0,"Vienna, Virginia",United States,Married,2.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University",True,Master of Business Administration," Harvard University; Bachelor of Arts/Science, Syracuse University",-77.2651762,38.9013729,daniel-d'aniello
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53.0,"Moscow, Russia",Russia,Divorced,2.0,"Bachelor of Arts/Science, Moscow State University",True,Bachelor of Arts/Science, Moscow State University,37.6174943,55.7504461,oleg-deripaska
Sergey Dmitriev,3.8,Russia,computer software,775,55.0,"Prague, Czechia",Russia,,,"Master of Science, Saint Petersburg State University",True,Master of Science, Saint Petersburg State University,14.4212535,50.0874654,sergey-dmitriev
Feng Hailiang,3.8,China,"copper, education",775,60.0,"Zhuji, China",China,Married,2.0,"Master of Business Administration, Zhejiang University",True,Master of Business Administration, Zhejiang University,120.1805427,29.7296617,feng-hailiang
John Gandel,3.8,Australia,shopping malls,775,86.0,"Melbourne, Australia",Australia,Married,4.0,"Doctorate, Monash University",False,Doctorate, Monash University,144.960964,-37.8077694,john-gandel
Gao Dekang & family,3.8,China,apparel,775,69.0,"Changshu, China",China,Married,3.0,"EMBA, Phoenix International University",True,EMBA, Phoenix International University,120.7480757,31.6572954,gao-dekang
Jaime Gilinski Bacal,3.8,Colombia,banking,775,63.0,"London, United Kingdom",Colombia,Married,4.0,"Master of Business Administration, Harvard Business School",False,Master of Business Administration, Harvard Business School,-0.1276474,51.5073219,jaime-gilinski-bacal
Sergei Gordeev,3.8,Russia,real estate,775,48.0,"Moscow, Russia",Russia,Single,,"Bachelor of Arts/Science, Togliatti Academy of Management",True,Bachelor of Arts/Science, Togliatti Academy of Management,37.6174943,55.7504461,sergei-gordeev
Jeff Green,3.8,United States,online advertising,775,44.0,"Newbury Park, California",United States,,,,True,,,-118.9118302,34.183671,jeff-green
"Amos Hostetter, Jr.",3.8,United States,cable television,775,84.0,"Boston, Massachusetts",United States,Married,3.0,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",True,Bachelor of Arts/Science," Amherst College; Master of Business Administration, Harvard University",-71.0582912,42.3602534,"amos-hostetter,-jr."
Kuok Khoon Hong,3.8,Singapore,palm oil,775,71.0,"Singapore, Singapore",Singapore,Married,4.0,,False,,,103.8194992,1.357107,kuok-khoon-hong
Lai Jianping,3.8,China,soy sauce,775,,"Foshan, China",China,,,,True,,,113.1146335,23.0247687,lai-jianping
Aerin Lauder,3.8,United States,cosmetics,775,51.0,"New York, New York",United States,Married,2.0,"Bachelor of Arts/Science, University of Pennsylvania",False,Bachelor of Arts/Science, University of Pennsylvania,-74.00601519999999,40.7127281,aerin-lauder
Hans Georg Naeder,3.8,Germany,prosthetics,775,59.0,"Duderstadt, Germany",Germany,Divorced,2.0,,False,,,10.2610699,51.5123672,hans-georg-naeder
Maren Otto,3.8,Germany,"retail, real estate",775,,"Berlin, Germany",Germany,Widowed,,,False,,,13.3888599,52.5170365,maren-otto
Clive Palmer,3.8,Australia,mining,775,67.0,"Brisbane, Australia",Australia,Married,3.0,,True,,,153.1113098,-27.5909632,clive-palmer
Karsanbhai Patel,3.8,India,consumer goods,775,77.0,"Ahmedabad, India",India,Married,3.0,,True,,,72.5797068,23.0216238,karsanbhai-patel
Qiu Jianping & family,3.8,China,hand tools,775,59.0,"Hangzhou, China",China,Married,,"Master of Science, Xi'an Jiaotong University",True,Master of Science, Xi'an Jiaotong University,120.2052342,30.2489634,qiu-jianping
Wolfgang Reimann,3.8,Germany,consumer goods,775,68.0,"Passau, Germany",Germany,,,,False,,,13.4609744,48.5748229,wolfgang-reimann
Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56.0,"Munich, Germany",Germany,,,,False,,,11.5753822,48.1371079,matthias-reimann-andersen
Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57.0,"Vienna, Austria",Germany,,,,False,,,16.3725042,48.2083537,stefan-reimann-andersen
Renate Reimann-Haas,3.8,Germany,consumer goods,775,69.0,"Vienna, Austria",Germany,,,,False,,,16.3725042,48.2083537,renate-reimann-haas
Dirk Rossmann & family,3.8,Germany,drugstores,775,74.0,"Lower-Saxony, Germany",Germany,Married,2.0,,True,,,9.075962000000001,52.8398531,dirk-rossmann
Shaul Shani,3.8,Israel,telecom,775,66.0,Italy,Israel,,,,True,,,12.674297,42.6384261,shaul-shani
Song Fei,3.8,China,machinery,775,54.0,"Yantai, China",China,Married,,,True,,,121.4425255,37.461928,song-fei
Donald Sterling,3.8,United States,real estate,775,87.0,"Beverly Hills, California",United States,Married,3.0,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",True,Bachelor of Arts/Science," California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",-118.3963062,34.0696501,donald-sterling
Ivar Tollefsen,3.8,Norway,real estate,775,59.0,"Oslo, Norway",Norway,,,,True,,,10.7389701,59.9133301,ivar-tollefsen
Don Vultaggio & family,3.8,United States,beverages,775,69.0,"Port Washington, New York",United States,Married,2.0,"High School Graduate, High School",True,High School Graduate, High School,-73.681282,40.8254914,don-vultaggio
Nusli Wadia,3.8,India,consumer goods,775,77.0,"Mumbai, India",India,Married,2.0,,False,,,72.8773928,19.0759899,nusli-wadia
Zhang Jin,3.8,China,commodities,775,49.0,"Guangzhou, China",China,,,"Master of Arts, Hong Kong Polytechnic University; EMBA, Peking University",True,Master of Arts," Hong Kong Polytechnic University; EMBA, Peking University",113.2592945,23.1301964,zhang-jin
Zhu Gongshan,3.8,China,solar panel materials,775,63.0,"Shanghai, China",China,Married,2.0,,True,,,121.4692071,31.2322758,zhu-gongshan
Peter Gilgan,3.7,Canada,homebuilding,807,70.0,"Oakville, Canada",Canada,Married,8.0,,True,,,-79.66667200000001,43.447436,peter-gilgan
Marian Ilitch,3.7,United States,Little Caesars,807,88.0,"Bingham Farms, Michigan",United States,Widowed,7.0,"Diploma, High School; High School Graduate, High School",True,Diploma," High School; High School Graduate, High School",-83.27326429999999,42.515868,marian-ilitch
Kong Jian Min,3.7,China,real estate,807,53.0,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Jinan University",True,Bachelor of Arts/Science, Jinan University,113.2592945,23.1301964,kong-jian-min
Li Liangbin,3.7,China,lithium,807,53.0,"Xinyu, China",China,,,,True,,,114.9124505,27.8214162,li-liangbin
Li Yongxin & family,3.7,China,education,807,45.0,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Peking University",True,Bachelor of Arts/Science, Peking University,116.3912757,39.906217,li-yongxin
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71.0,"Coatesville, Pennsylvania",United States,Divorced,2.0,"Bachelor of Arts/Science, University of Arizona",False,Bachelor of Arts/Science, University of Arizona,-75.8238355,39.9831616,mary-alice-dorrance-malone
Michael Milken,3.7,United States,investments,807,74.0,"Los Angeles, California",United States,Married,3.0,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Bachelor of Arts/Science," University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",-118.242766,34.0536909,michael-milken
Ronald Perelman,3.7,United States,leveraged buyouts,807,78.0,"New York, New York",United States,Married,8.0,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Bachelor of Arts/Science," University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",-74.00601519999999,40.7127281,ronald-perelman
Candido Pinheiro Koren de Lima,3.7,Brazil,"hospitals, health insurance",807,74.0,"Fortaleza, Brazil",Brazil,Married,2.0,,True,,,-38.5217989,-3.7304512,candido-pinheiro-koren-de-lima
J. Joe Ricketts & family,3.7,United States,TD Ameritrade,807,79.0,"Little Jackson Hole, Wyoming",United States,Married,4.0,"Bachelor of Arts/Science, Creighton University",True,Bachelor of Arts/Science, Creighton University,-110.4436629,43.684017,j.-joe-ricketts
Paolo & Gianfelice Mario Rocca,3.7,Italy,pipe manufacturing,807,,"Buenos Aires, Argentina",Italy,,,"Certificate, Harvard Business School",False,Certificate, Harvard Business School,-58.4370894,-34.6075682,paolo-gianfelice-mario-rocca
Jeff Rothschild,3.7,United States,Facebook,807,66.0,"Palo Alto, California",United States,Married,3.0,"Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University",True,Bachelor of Arts/Science," Vanderbilt University; Master of Science, Vanderbilt University",-122.1598465,37.4443293,jeff-rothschild
David Rubenstein,3.7,United States,private equity,807,71.0,"Bethesda, Maryland",United States,Divorced,3.0,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Chicago",True,Bachelor of Arts/Science," Duke University; Doctor of Jurisprudence, University of Chicago",-77.0941675,38.9843774,david-rubenstein
Maria-Elisabeth Schaeffler-Thumann,3.7,Germany,auto parts,807,79.0,"Herzogenaurach, Germany",Germany,Married,,,False,,,10.8815262,49.5710376,maria-elisabeth-schaeffler-thumann
Steven Spielberg,3.7,United States,movies,807,74.0,"Pacific Palisades, California",United States,Married,7.0,"Bachelor of Arts/Science, California State Long Beach",True,Bachelor of Arts/Science, California State Long Beach,-118.5264706,34.0480643,steven-spielberg
Barry Sternlicht,3.7,United States,private equity,807,60.0,"Miami, Florida",United States,Married,3.0,"Bachelor of Arts/Science, Brown University",True,Bachelor of Arts/Science, Brown University,-80.19362,25.7741728,barry-sternlicht
Mark Stevens,3.7,United States,venture capital,807,61.0,"Steamboat Springs, Colorado",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",True,Master of Business Administration," Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",-106.8317359,40.4848003,mark-stevens
David Steward,3.7,United States,IT provider,807,69.0,"St. Louis, Missouri",United States,Married,,"Bachelor of Arts/Science, Central Missouri State University",True,Bachelor of Arts/Science, Central Missouri State University,-90.1998378,38.6264178,david-steward
Vincent Viola,3.7,United States,electronic trading,807,65.0,"New York, New York",United States,Married,3.0,"Doctor of Jurisprudence, New York Law School; Bachelor of Arts/Science, United States Military Academy",True,Doctor of Jurisprudence," New York Law School; Bachelor of Arts/Science, United States Military Academy",-74.00601519999999,40.7127281,vincent-viola
Todd Wanek,3.7,United States,furniture,807,57.0,"St. Petersburg, Florida",United States,Married,2.0,,False,,,-82.66950850000001,27.7703796,todd-wanek
Wang Roger,3.7,United States,retail,807,72.0,"Nanjing, China",United States,Married,2.0,"Bachelor of Arts/Science, Chinese Culture University; Master of Business Administration, Southeastern Louisiana University",True,Bachelor of Arts/Science," Chinese Culture University; Master of Business Administration, Southeastern Louisiana University",118.7916458,32.0609736,wang-roger
Russ Weiner,3.7,United States,energy drinks,807,51.0,"Delray Beach, Florida",United States,Single,,"Bachelor of Arts/Science, San Diego State University",True,Bachelor of Arts/Science, San Diego State University,-80.0728201,26.4614625,russ-weiner
Herbert Wertheim,3.7,United States,investments,807,81.0,"Coral Gables, Florida",United States,Married,,"Associate in Arts/Science, Brevard Community College; Doctorate, Southern College of Optometry",True,Associate in Arts/Science," Brevard Community College; Doctorate, Southern College of Optometry",-80.2683838,25.72149,herbert-wertheim
Xu Shugen,3.7,China,"construction, mining machinery",807,55.0,"Hangzhou, China",China,,,,True,,,120.2052342,30.2489634,xu-shugen
Anil Agarwal & family,3.6,India,"mining, metals",831,67.0,"London, United Kingdom",India,Married,2.0,,True,,,-0.1276474,51.5073219,anil-agarwal
Majid Al Futtaim & family,3.6,United Arab Emirates,"real estate, retail",831,,"Dubai, United Arab Emirates",United Arab Emirates,Married,,,False,,,55.1885387,25.0742823,majid-al-futtaim
Leonid Boguslavsky,3.6,Russia,venture capital,831,69.0,"Moscow, Russia",Russia,Married,4.0,"Master of Science, Moscow Institute for Transport Engineering",True,Master of Science, Moscow Institute for Transport Engineering,37.6174943,55.7504461,leonid-boguslavsky
"Austen Cargill, II.",3.6,United States,Cargill,831,70.0,"Livingston, Montana",United States,Divorced,2.0,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",False,Doctorate," Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",-110.52926,45.671445,"austen-cargill,-ii."
"James Cargill, II.",3.6,United States,Cargill,831,72.0,"Birchwood, Wisconsin",United States,Married,2.0,,False,,,-91.5561191,45.6580886,"james-cargill,-ii."
Chu Lam Yiu,3.6,Hong Kong,flavorings,831,51.0,"Hong Kong, Hong Kong",Hong Kong,Married,,,True,,,114.1628131,22.2793278,chu-lam-yiu
Steve Conine,3.6,United States,online retail,831,48.0,"Boston, Massachusetts",United States,Married,3.0,"Bachelor of Science in Engineering, Cornell University",True,Bachelor of Science in Engineering, Cornell University,-71.0582912,42.3602534,steve-conine
Hu Kaijun,3.6,China,pharmaceuticals,831,59.0,"Beijing, China",China,,,,True,,,116.3912757,39.906217,hu-kaijun
S. Curtis Johnson,3.6,United States,cleaning products,831,66.0,"Racine, Wisconsin",United States,Married,4.0,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",False,Bachelor of Arts/Science," Cornell University; Master of Business Administration, Kellogg School of Management",-87.7825242,42.7260523,s.-curtis-johnson
Helen Johnson-Leipold,3.6,United States,cleaning products,831,64.0,"Racine, Wisconsin",United States,Married,5.0,"Bachelor of Arts/Science, Cornell University",False,Bachelor of Arts/Science, Cornell University,-87.7825242,42.7260523,helen-johnson-leipold
Daryl Katz,3.6,Canada,pharmacies,831,59.0,"Edmonton, Canada",Canada,Married,2.0,"Bachelor of Arts/Science, University of Alberta; Doctor of Jurisprudence, University of Alberta",True,Bachelor of Arts/Science," University of Alberta; Doctor of Jurisprudence, University of Alberta",-113.507996,53.535411,daryl-katz
Peter Kellogg,3.6,United States,investments,831,78.0,"Short Hills, New Jersey",United States,Married,3.0,"Bachelor of Arts/Science, Babson College",False,Bachelor of Arts/Science, Babson College,-74.3254271,40.7478786,peter-kellogg
Samuel Tak Lee,3.6,Hong Kong,real estate,831,82.0,"Hong Kong, Hong Kong",Hong Kong,Married,7.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology",False,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology",114.1628131,22.2793278,samuel-tak-lee
Li Hongxin & family,3.6,China,paper & related products,831,68.0,"Yanzhou, China",China,Married,3.0,,True,,,109.4828549,36.5853932,li-hongxin
Marianne Liebmann,3.6,United States,Cargill,831,67.0,"Bozeman, Montana",United States,Married,2.0,"Bachelor of Arts/Science, Montana State University",False,Bachelor of Arts/Science, Montana State University,-111.044047,45.6794293,marianne-liebmann
Winifred J. Marquart,3.6,United States,cleaning products,831,62.0,"Virginia Beach, Virginia",United States,Married,4.0,"Drop Out, Cornell University",False,Drop Out, Cornell University,-75.9774183,36.8529841,winifred-j.-marquart
Daniel Och,3.6,United States,hedge funds,831,60.0,"Miami Beach, Florida",United States,Married,3.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,Bachelor of Arts/Science," University of Pennsylvania, The Wharton School",-80.13530059999999,25.7929198,daniel-och
Anthony Pritzker,3.6,United States,"hotels, investments",831,60.0,"Los Angeles, California",United States,Married,6.0,"Bachelor of Arts/Science, Dartmouth College",False,Bachelor of Arts/Science, Dartmouth College,-118.242766,34.0536909,anthony-pritzker
Rodger Riney & family,3.6,United States,discount brokerage,831,75.0,"St. Louis, Missouri",United States,Married,3.0,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri",True,Bachelor of Arts/Science," University of Missouri; Master of Business Administration, University of Missouri",-90.1998378,38.6264178,rodger-riney
Niraj Shah,3.6,United States,online retail,831,47.0,"Boston, Massachusetts",United States,Married,2.0,"Bachelor of Science in Engineering, Cornell University",True,Bachelor of Science in Engineering, Cornell University,-71.0582912,42.3602534,niraj-shah
Lynsi Snyder,3.6,United States,In-N-Out Burger,831,39.0,"Glendora, California",United States,Married,,,False,,,-117.865339,34.1361187,lynsi-snyder
Jerzy Starak,3.6,Poland,pharmaceuticals,831,73.0,"Konstancin, Poland",Poland,Married,3.0,,True,,,19.3486177,52.0941864,jerzy-starak
Michael Tojner,3.6,Austria,"batteries, investments",831,55.0,"Vienna, Austria",Austria,,,"Master of Business Administration, University of Vienna; Master of Laws, University of Vienna",True,Master of Business Administration," University of Vienna; Master of Laws, University of Vienna",16.3725042,48.2083537,michael-tojner
Richard Tsai,3.6,Taiwan,finance,831,63.0,"Taipei, Taiwan",Taiwan,Married,2.0,"Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University",False,Master of Business Administration," Leonard N. Stern School of Business; Graduate, National Taiwan University",121.5636796,25.0375198,richard-tsai
Ty Warner,3.6,United States,"real estate, plush toys",831,76.0,"Oak Brook, Illinois",United States,Single,,"Drop Out, Kalamazoo College",True,Drop Out, Kalamazoo College,-87.92895040000001,41.8328085,ty-warner
Yang Shaopeng,3.6,China,shipping,831,63.0,"Qingdao, China",China,,,,True,,,120.3781372,36.0638034,yang-shaopeng
Yuan Liping,3.6,Canada,pharmaceuticals,831,50.0,"Shenzhen, China",Canada,Divorced,,,False,,,114.0543297,22.555454,yuan-liping
Zhang Hongwei,3.6,China,"oil, banking",831,66.0,"Beijing, China",China,Married,3.0,"Bachelor of Arts/Science, Harbin Engineering University; Master of Science, Harbin Institute of Technology",True,Bachelor of Arts/Science," Harbin Engineering University; Master of Science, Harbin Institute of Technology",116.3912757,39.906217,zhang-hongwei
Andrej Babis,3.5,Czechia,agriculture,859,66.0,"Prague, Czechia",Czechia,Married,4.0,"Master, University of Economics in Bratislava (UEB)",True,Master, University of Economics in Bratislava (UEB),14.4212535,50.0874654,andrej-babis
Shyam & Hari Bhartia,3.5,India,diversified,859,68.0,"Delhi, India",India,Married,2.0,,False,,,77.2219388,28.6517178,shyam-hari-bhartia
